| x  |s2 |s1 |s0 | y0 | y1 | y2 | y3 | y4 | y5 | y6 | y7 |
| 00 | 0 | 0 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 0 | 0 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 0 | 1 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 0 | 1 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 1 | 0 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 1 | 0 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 1 | 1 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 00 | 1 | 1 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 01 | 0 | 0 | 0 | 01 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 01 | 0 | 0 | 1 | 00 | 01 | 00 | 00 | 00 | 00 | 00 | 00 |
| 01 | 0 | 1 | 0 | 00 | 00 | 01 | 00 | 00 | 00 | 00 | 00 |
| 01 | 0 | 1 | 1 | 00 | 00 | 00 | 01 | 00 | 00 | 00 | 00 |
| 01 | 1 | 0 | 0 | 00 | 00 | 00 | 00 | 01 | 00 | 00 | 00 |
| 01 | 1 | 0 | 1 | 00 | 00 | 00 | 00 | 00 | 01 | 00 | 00 |
| 01 | 1 | 1 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 01 | 00 |
| 01 | 1 | 1 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 01 |
| 10 | 0 | 0 | 0 | 10 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 10 | 0 | 0 | 1 | 00 | 10 | 00 | 00 | 00 | 00 | 00 | 00 |
| 10 | 0 | 1 | 0 | 00 | 00 | 10 | 00 | 00 | 00 | 00 | 00 |
| 10 | 0 | 1 | 1 | 00 | 00 | 00 | 10 | 00 | 00 | 00 | 00 |
| 10 | 1 | 0 | 0 | 00 | 00 | 00 | 00 | 10 | 00 | 00 | 00 |
| 10 | 1 | 0 | 1 | 00 | 00 | 00 | 00 | 00 | 10 | 00 | 00 |
| 10 | 1 | 1 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 10 | 00 |
| 10 | 1 | 1 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 10 |
| 11 | 0 | 0 | 0 | 11 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 11 | 0 | 0 | 1 | 00 | 11 | 00 | 00 | 00 | 00 | 00 | 00 |
| 11 | 0 | 1 | 0 | 00 | 00 | 11 | 00 | 00 | 00 | 00 | 00 |
| 11 | 0 | 1 | 1 | 00 | 00 | 00 | 11 | 00 | 00 | 00 | 00 |
| 11 | 1 | 0 | 0 | 00 | 00 | 00 | 00 | 11 | 00 | 00 | 00 |
| 11 | 1 | 0 | 1 | 00 | 00 | 00 | 00 | 00 | 11 | 00 | 00 |
| 11 | 1 | 1 | 0 | 00 | 00 | 00 | 00 | 00 | 00 | 11 | 00 |
| 11 | 1 | 1 | 1 | 00 | 00 | 00 | 00 | 00 | 00 | 00 | 11 |
