|    x     |    y     |    s     | of  |
|       0  |       0  |       0  |  0  |
|      12  |      13  |      25  |  0  |
|      13  |      13  |      26  |  0  |
|      14  |      14  |      28  |  0  |
|      15  |      15  |      30  |  0  |
|      16  |      16  |      32  |  0  |
|      17  |      17  |      34  |  0  |
|      18  |      18  |      36  |  0  |
|      19  |      19  |      38  |  0  |
|      20  |      20  |      40  |  0  |
|      21  |      21  |      42  |  0  |
|      22  |      22  |      44  |  0  |
|      23  |      23  |      46  |  0  |
|      24  |      24  |      48  |  0  |
|      25  |      25  |      50  |  0  |
|      26  |      26  |      52  |  0  |
|      27  |      27  |      54  |  0  |
|      28  |      28  |      56  |  0  |
|      29  |      29  |      58  |  0  |
|      30  |      30  |      60  |  0  |
|      31  |      31  |      62  |  0  |
|      32  |      32  |      64  |  0  |
|      33  |      33  |      66  |  0  |
|     134  |    -240  |    -106  |  0  |
|   20000  |   30110  |  -15426  |  1  |
|  -20304  |  -23944  |   21288  |  1  |
|    -256  |    -257  |    -513  |  0  |
