|    x     |    y     |us |opcod|    z     |of |eq |
| 01100100 | 01111000 | 0 | 000 | 00000000 | 0 | 0 |
| 10101010 | 00000000 | 0 | 000 | 00000000 | 0 | 0 |
| 01100100 | 01111000 | 0 | 001 | 01100000 | 0 | 0 |
| 00111110 | 01111011 | 0 | 001 | 00111010 | 0 | 0 |
| 10101010 | 01010101 | 0 | 010 | 11111111 | 1 | 0 |
| 00000000 | 11011011 | 0 | 010 | 11011011 | 0 | 0 |
| 10101010 | 01010101 | 0 | 011 | 11111111 | 1 | 0 |
| 01101100 | 11100110 | 0 | 011 | 10001010 | 1 | 0 |
| 01100100 | 01111000 | 0 | 100 | 11011100 | 0 | 0 |
| 11111111 | 00001010 | 0 | 100 | 00001001 | 1 | 0 |
| 00100100 | 00100100 | 0 | 100 | 01001000 | 0 | 1 |
| 00110010 | 00111100 | 1 | 100 | 01101110 | 0 | 0 |
| 01100100 | 01111000 | 1 | 100 | 11011100 | 1 | 0 |
| 00100100 | 00100100 | 1 | 100 | 01001000 | 0 | 1 |
| 01111000 | 01100100 | 0 | 101 | 00010100 | 1 | 0 |
| 00110011 | 00110011 | 0 | 101 | 00000000 | 1 | 1 |
| 11110100 | 01010100 | 1 | 101 | 10100000 | 0 | 0 |
| 01111111 | 11111110 | 1 | 101 | 10000001 | 1 | 0 |
| 00110011 | 00110011 | 0 | 101 | 00000000 | 1 | 1 |
| 00000010 | 00001101 | 0 | 110 | 00011010 | 0 | 0 |
| 00001111 | 00100010 | 0 | 110 | 11111110 | 1 | 0 |
| 00000011 | 00000011 | 0 | 110 | 00001001 | 0 | 1 |
| 11011110 | 00001101 | 1 | 111 | 01000110 | 1 | 0 |
| 00011011 | 11111101 | 1 | 111 | 10101111 | 0 | 0 |
| 11111100 | 11111100 | 1 | 111 | 00010000 | 0 | 1 |
