| time |RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |       5 |       2 |       3 |       0 |
| 1    |       5 |       2 |       3 |       0 |
| 2    |       5 |       2 |       3 |       0 |
| 3    |       5 |       2 |       3 |       0 |
| 4    |       5 |       2 |       3 |       0 |
| 5    |       5 |       2 |       3 |       0 |
| 6    |       5 |       2 |       3 |       0 |
| 7    |       5 |       2 |       3 |       0 |
| 8    |       5 |       2 |       3 |       4 |
| 9    |       5 |       2 |       3 |       0 |
| 9    |      10 |      20 |       5 |       0 |
| 10   |      10 |      20 |       5 |       0 |
| 11   |      10 |      20 |       5 |       0 |
| 12   |      10 |      20 |       5 |       0 |
| 13   |      10 |      20 |       5 |       0 |
| 14   |      10 |      20 |       5 |       0 |
| 15   |      10 |      20 |       5 |       0 |
| 16   |      10 |      20 |       5 |       0 |
| 17   |      10 |      20 |       5 |      25 |
