| time  |RAM64[|RAM64[1|
| 1     |    0 |     0 |
| 2     |    1 |     0 |
| 3     |    1 |     0 |
| 4     |    1 |     0 |
| 5     |    1 |     0 |
| 6     |    1 |     0 |
| 7     |    1 |     0 |
| 8     |    1 |     0 |
| 9     |    1 |     0 |
| 10    |    1 |     0 |
| 11    |    1 |     0 |
| 12    |    1 |     0 |
| 13    |    1 |     0 |
| 14    |    1 |     1 |
| 15    |    1 |     1 |
| 16    |    2 |     1 |
| 17    |    2 |     1 |
| 18    |    2 |     1 |
| 19    |    2 |     1 |
| 20    |    2 |     1 |
| 21    |    2 |     1 |
| 22    |    2 |     1 |
| 23    |    2 |     1 |
| 24    |    2 |     1 |
| 25    |    2 |     1 |
| 26    |    2 |     1 |
| 27    |    2 |     1 |
| 28    |    2 |     3 |
| 29    |    2 |     3 |
| 30    |    3 |     3 |
| 31    |    3 |     3 |
| 32    |    3 |     3 |
| 33    |    3 |     3 |
| 34    |    3 |     3 |
| 35    |    3 |     3 |
| 36    |    3 |     3 |
| 37    |    3 |     3 |
| 38    |    3 |     3 |
| 39    |    3 |     3 |
| 40    |    3 |     3 |
| 41    |    3 |     3 |
| 42    |    3 |     6 |
| 43    |    3 |     6 |
| 44    |    4 |     6 |
| 45    |    4 |     6 |
| 46    |    4 |     6 |
| 47    |    4 |     6 |
| 48    |    4 |     6 |
| 49    |    4 |     6 |
| 50    |    4 |     6 |
| 51    |    4 |     6 |
| 52    |    4 |     6 |
| 53    |    4 |     6 |
| 54    |    4 |     6 |
| 55    |    4 |     6 |
| 56    |    4 |    10 |
| 57    |    4 |    10 |
| 58    |    5 |    10 |
| 59    |    5 |    10 |
| 60    |    5 |    10 |
| 61    |    5 |    10 |
| 62    |    5 |    10 |
| 63    |    5 |    10 |
| 64    |    5 |    10 |
| 65    |    5 |    10 |
| 66    |    5 |    10 |
| 67    |    5 |    10 |
| 68    |    5 |    10 |
| 69    |    5 |    10 |
| 70    |    5 |    15 |
| 71    |    5 |    15 |
| 72    |    6 |    15 |
| 73    |    6 |    15 |
| 74    |    6 |    15 |
| 75    |    6 |    15 |
| 76    |    6 |    15 |
| 77    |    6 |    15 |
| 78    |    6 |    15 |
| 79    |    6 |    15 |
| 80    |    6 |    15 |
| 81    |    6 |    15 |
| 82    |    6 |    15 |
| 83    |    6 |    15 |
| 84    |    6 |    21 |
| 85    |    6 |    21 |
| 86    |    7 |    21 |
| 87    |    7 |    21 |
| 88    |    7 |    21 |
| 89    |    7 |    21 |
| 90    |    7 |    21 |
| 91    |    7 |    21 |
| 92    |    7 |    21 |
| 93    |    7 |    21 |
| 94    |    7 |    21 |
| 95    |    7 |    21 |
| 96    |    7 |    21 |
| 97    |    7 |    21 |
| 98    |    7 |    28 |
| 99    |    7 |    28 |
| 100   |    8 |    28 |
| 101   |    8 |    28 |
| 102   |    8 |    28 |
| 103   |    8 |    28 |
| 104   |    8 |    28 |
| 105   |    8 |    28 |
| 106   |    8 |    28 |
| 107   |    8 |    28 |
| 108   |    8 |    28 |
| 109   |    8 |    28 |
| 110   |    8 |    28 |
| 111   |    8 |    28 |
| 112   |    8 |    36 |
| 113   |    8 |    36 |
| 114   |    9 |    36 |
| 115   |    9 |    36 |
| 116   |    9 |    36 |
| 117   |    9 |    36 |
| 118   |    9 |    36 |
| 119   |    9 |    36 |
| 120   |    9 |    36 |
| 121   |    9 |    36 |
| 122   |    9 |    36 |
| 123   |    9 |    36 |
| 124   |    9 |    36 |
| 125   |    9 |    36 |
| 126   |    9 |    45 |
| 127   |    9 |    45 |
| 128   |   10 |    45 |
| 129   |   10 |    45 |
| 130   |   10 |    45 |
| 131   |   10 |    45 |
| 132   |   10 |    45 |
| 133   |   10 |    45 |
| 134   |   10 |    45 |
| 135   |   10 |    45 |
| 136   |   10 |    45 |
| 137   |   10 |    45 |
| 138   |   10 |    45 |
| 139   |   10 |    45 |
| 140   |   10 |    55 |
| 141   |   10 |    55 |
| 142   |   11 |    55 |
| 143   |   11 |    55 |
| 144   |   11 |    55 |
| 145   |   11 |    55 |
| 146   |   11 |    55 |
| 147   |   11 |    55 |
| 148   |   11 |    55 |
| 149   |   11 |    55 |
| 150   |   11 |    55 |
| 151   |   11 |    55 |
| 152   |   11 |    55 |
| 153   |   11 |    55 |
| 154   |   11 |    66 |
| 155   |   11 |    66 |
| 156   |   12 |    66 |
| 157   |   12 |    66 |
| 158   |   12 |    66 |
| 159   |   12 |    66 |
| 160   |   12 |    66 |
| 161   |   12 |    66 |
| 162   |   12 |    66 |
| 163   |   12 |    66 |
| 164   |   12 |    66 |
| 165   |   12 |    66 |
| 166   |   12 |    66 |
| 167   |   12 |    66 |
| 168   |   12 |    78 |
| 169   |   12 |    78 |
| 170   |   13 |    78 |
| 171   |   13 |    78 |
| 172   |   13 |    78 |
| 173   |   13 |    78 |
| 174   |   13 |    78 |
| 175   |   13 |    78 |
| 176   |   13 |    78 |
| 177   |   13 |    78 |
| 178   |   13 |    78 |
| 179   |   13 |    78 |
| 180   |   13 |    78 |
| 181   |   13 |    78 |
| 182   |   13 |    91 |
| 183   |   13 |    91 |
| 184   |   14 |    91 |
| 185   |   14 |    91 |
| 186   |   14 |    91 |
| 187   |   14 |    91 |
| 188   |   14 |    91 |
| 189   |   14 |    91 |
| 190   |   14 |    91 |
| 191   |   14 |    91 |
| 192   |   14 |    91 |
| 193   |   14 |    91 |
| 194   |   14 |    91 |
| 195   |   14 |    91 |
| 196   |   14 |   105 |
| 197   |   14 |   105 |
| 198   |   15 |   105 |
| 199   |   15 |   105 |
| 200   |   15 |   105 |
| 201   |   15 |   105 |
